epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.58057,1.86577,2.94963,1.78539,0.05533,0.20494,0.04665,0.01227,2.94899,3.12192,2.24252,8e-05,8e-05,8e-05
2,7.13219,2.18384,3.31543,1.89747,0.056,0.20741,0.04529,0.01149,2.82589,3.07937,2.15573,0.000179109,0.000179109,0.000179109
3,7.71688,2.02794,3.11688,1.77629,0.056,0.20741,0.04529,0.01149,2.82589,3.07937,2.15573,0.000277228,0.000277228,0.000277228
4,8.30768,1.81318,3.0548,1.71979,0.056,0.20741,0.04529,0.01149,2.82589,3.07937,2.15573,0.000374357,0.000374357,0.000374357
5,8.89827,1.89762,3.04863,1.78422,0.05667,0.20988,0.05942,0.01513,2.50108,3.07925,2.01402,0.000470496,0.000470496,0.000470496
6,9.48102,1.68189,2.97075,1.65266,0.05667,0.20988,0.05942,0.01513,2.50108,3.07925,2.01402,0.000565645,0.000565645,0.000565645
7,10.026,2.31997,3.38331,1.81827,0.05667,0.20988,0.05942,0.01513,2.50108,3.07925,2.01402,0.000659804,0.000659804,0.000659804
8,10.6318,2.01533,3.18818,1.68718,0.05667,0.20988,0.05942,0.01513,2.50108,3.07925,2.01402,0.000752973,0.000752973,0.000752973
9,11.2202,2.10574,3.23134,1.8559,0.05667,0.20988,0.05942,0.01513,2.50108,3.07925,2.01402,0.000845152,0.000845152,0.000845152
10,11.7559,1.95377,3.01749,1.75166,0.05667,0.20988,0.05942,0.01513,2.50108,3.07925,2.01402,0.000936341,0.000936341,0.000936341
11,12.3351,2.14672,3.15026,1.81374,0.05667,0.20988,0.05942,0.01513,2.50108,3.07925,2.01402,0.00102654,0.00102654,0.00102654
12,12.8781,2.04086,3.13101,1.77059,0.05333,0.19753,0.03955,0.01707,2.00618,3.1691,1.78638,0.00111575,0.00111575,0.00111575
13,13.4172,2.18486,3.2226,1.82263,0.05333,0.19753,0.03955,0.01707,2.00618,3.1691,1.78638,0.00120397,0.00120397,0.00120397
14,14.0083,1.63573,2.84274,1.66822,0.05333,0.19753,0.03955,0.01707,2.00618,3.1691,1.78638,0.0012912,0.0012912,0.0012912
15,14.6043,1.86591,3.0348,1.70927,0.05333,0.19753,0.03955,0.01707,2.00618,3.1691,1.78638,0.00137744,0.00137744,0.00137744
16,15.1322,1.86503,3.08553,1.80159,0.05333,0.19753,0.03955,0.01707,2.00618,3.1691,1.78638,0.00146269,0.00146269,0.00146269
17,15.6778,2.15834,3.20198,1.83381,0.05333,0.19753,0.03955,0.01707,2.00618,3.1691,1.78638,0.00154694,0.00154694,0.00154694
18,16.2148,2.30699,3.3083,1.91686,0.05333,0.19753,0.03955,0.01707,2.00618,3.1691,1.78638,0.00163021,0.00163021,0.00163021
19,16.7588,2.10234,3.25921,1.79601,0.05333,0.19753,0.03955,0.01707,2.00618,3.1691,1.78638,0.00171249,0.00171249,0.00171249
20,17.2922,1.80215,3.07302,1.72592,0.05333,0.19753,0.03955,0.01707,2.00618,3.1691,1.78638,0.00179378,0.00179378,0.00179378
21,17.8155,1.99928,3.03955,1.8284,0.05333,0.19753,0.03955,0.01707,2.00618,3.1691,1.78638,0.001802,0.001802,0.001802
22,18.3385,1.7048,2.95317,1.61438,0.05333,0.19753,0.03955,0.01707,2.00618,3.1691,1.78638,0.0017921,0.0017921,0.0017921
23,18.8608,1.93031,3.06476,1.73786,0.05333,0.19753,0.03955,0.01707,2.00618,3.1691,1.78638,0.0017822,0.0017822,0.0017822
24,19.4049,2.16225,3.27459,1.93413,0.05333,0.19753,0.03955,0.01707,2.00618,3.1691,1.78638,0.0017723,0.0017723,0.0017723
25,20.0127,2.00635,3.05504,1.81961,0.04333,0.16049,0.03574,0.01452,2.0689,3.22029,1.85767,0.0017624,0.0017624,0.0017624
